,"N","966873"
"MOVC","N","1058664"
"MOVD","N","1058665"
"MOVE","N","1058666"
"MOVF","N","1058667"
"MOVG","N","1058668"
"MOVH","N","1058669"
"MOVI","N","1058670"
"MOVJ","N","1058671"
"MOVK","N","1058672"
"MOVL","N","1058673"
"MOVM","N","1058674"
"MOVN","N","1058675"
"MOVO","N","1058676"
"MOVP","N","1058677"
"MOVQ","N","1058678"
"MOVR","N","1058679"
"MOVS","N","1058680"
"MOVT","N","1058681"
"MOVU","N","1058682"
"MOVV","N","1058683"
"MOVW","N","1058684"
"MOVX","N","1058685"
"MOVY","N","1058686"
"MOVZ","N","1058687"
"MOW0","N","1058688"
"MOW1","N","1058689"
"MOW2","N","1058690"
"MOW3","N","1058691"
"MOW4","N","1058692"
"MOW5","N","1058693"
"MOW6","N","1058694"
"MOW7","N","1058695"
"MOW8","N","1058696"
"MOW9","N","1058697"
"MOWA","N","1058698"
"MOWB","N","1058699"
"MOWC","N","1058700"
"MOWD","N","1058701"
"MOWE","N","1058702"
"MOWF","N","1058703"
"MOWG","N","1058704"
"MOWH","N","1058705"
"MOWI","N","1058706"
"MOWJ","N","1058707"
"MOWK","N","1058708"
"MOWL","N","1058709"
"MOWM","N","1058710"
"MOWN","N","1058711"
"MOWO","N","1058712"
"MOWP","N","1058713"
"MOWQ","N","1058714"
"MOWR","N","1058715"
"MOWS","N","1058716"
"MOWT","N","1058717"
"MOWU","N","1058718"
"MOWV","N","1058719"
"MOWW","N","1058720"
"MOWX","N","1058721"
"MOWY","N","1058722"
"MOWZ","N","1058723"
"MOX0","N","1058724"
"MOX1","N","1058725"
"MOX2","N","1058726"
"MOX3","N","1058727"
"MOX4","N","1058728"
"MOX5","N","1058729"
"MOX6","N","1058730"
"MOX7","N","1058731"
"MOX8","N","1058732"
"MOX9","N","1058733"
"MOXA","N","1058734"
"MOXB","N","1058735"
"MOXC","N","1058736"
"MOXD","N","1058737"
"MOXE","N","1058738"
"MOXF","N","1058739"
"MOXG","N","1058740"
"MOXH","N","1058741"
"MOXI","N","1058742"
"MOXJ","N","1058743"
"MOXK","N","1058744"
"MOXL","N","1058745"
"MOXM","N","1058746"
"MOXN","N","1058747"
"MOXO","N","1058748"
"MOXP","N","1058749"
"MOXQ","N","1058750"
"MOXR","N","1058751"
"MOXS","N","1058752"
"MOXT","N","1058753"
"MOXU","N","1058754"
"MOXV","N","1058755"
"MOXW","N","1058756"
"MOXX","N","1058757"
"MOXY","N","1058758"
"MOXZ","N","1058759"
"MOY0","N","1058760"
"MOY1","N","1058761"
"MOY2","N","1058762"
"MOY3","N","1058763"
"MOY4","N","1058764"
"MOY5","N","1058765"
"MOY6","N","1058766"
"MOY7","N","1058767"
"MOY8","N","1058768"
"MOY9","N","1058769"
"MOYA","N","1058770"
"MOYB","N","1058771"
"MOYC","N","1058772"
"MOYD","N","1058773"
"MOYE","N","1058774"
"MOYF","N","1058775"
"MOYG","N","1058776"
"MOYH","N","1058777"
"MOYI","N","1058778"
"MOYJ","N","1058779"
"MOYK","N","1058780"
"MOYL","N","1058781"
"MOYM","N","1058782"
"MOYN","N","1058783"
"MOYO","N","1058784"
"MOYP","N","1058785"
"MOYQ","N","1058786"
"MOYR","N","1058787"
"MOYS","N","1058788"
"MOYT","N","1058789"
"MOYU","N","1058790"
"MOYV","N","1058791"
"MOYW","N","1058792"
"MOYX","N","1058793"
"MOYY","N","1058794"
"MOYZ","N","1058795"
"MOZ0","N","1058796"
"MOZ1","N","1058797"
"MOZ2","N","1058798"
"MOZ3","N","1058799"
"MOZ4","N","1058800"
"MOZ5","N","1058801"
"MOZ6","N","1058802"
"MOZ7","N","1058803"
"MOZ8","N","1058804"
"MOZ9","N","1058805"
"MOZA","N","1058806"
"MOZB","N","1058807"
"MOZC","N","1058808"
"MOZD","N","1058809"
"MOZE","N","1058810"
"MOZF","N","1058811"
"MOZG","N","1058812"
"MOZH","N","1058813"
"MOZI","N","1058814"
"MOZJ","N","1058815"
"MOZK","N","1058816"
"MOZL","N","1058817"
"MOZM","N","1058818"
"MOZN","N","1058819"
"MOZO","N","1058820"
"MOZP","N","1058821"
"MOZQ","N","1058822"
"MOZR","N","1058823"
"MOZS","N","1058824"
"MOZT","N","1058825"
"MOZU","N","1058826"
"MOZV","N","1058827"
"MOZW","N","1058828"
"MOZX","N","1058829"
"MOZY","N","1058830"
"MOZZ","N","1058831"
"MP00","N","1058832"
"MP01","N","1058833"
"MP02","N","1058834"
"MP03","N","1058835"
"MP04","N","1058836"
"MP05","N","1058837"
"MP06","N","1058838"
"MP07","N","1058839"
"MP08","N","1058840"
"MP09","N","1058841"
"MP0A","N","1058842"
"MP0B","N","1058843"
"MP0C","N","1058844"
"MP0D","N","1058845"
"MP0E","N","1058846"
"MP0F","N","1058847"
"MP0G","N","1058848"
"MP0H","N","1058849"
"MP0I","N","1058850"
"MP0J","N","1058851"
"MP0K","N","1058852"
"MP0L","N","1058853"
"MP0M","N","1058854"
"MP0N","N","1058855"
"MP0O","N","1058856"
"MP0P","N","1058857"
"MP0Q","N","1058858"
"MP0R","N","1058859"
"MP0S","N","1058860"
"MP0T","N","1058861"
"MP0U","N","1058862"
"MP0V","N","1058863"
"MP0W","N","1058864"
"MP0X","N","1058865"
"MP0Y","N","1058866"
"MP0Z","N","1058867"
"MP10","N","1058868"
"MP11","N","1058869"
"MP12","N","1058870"
"MP13","N","1058871"
"MP14","N","1058872"
"MP15","N","1058873"
"MP16","N","1058874"
"MP17","N","1058875"
"MP18","N","1058876"
"MP19","N","1058877"
"MP1A","N","1058878"
"MP1B","N","1058879"
"MP1C","N","1058880"
"MP1D","N","1058881"
"MP1E","N","1058882"
"MP1F","N","1058883"
"MP1G","N","1058884"
"MP1H","N","1058885"
"MP1I","N","1058886"
"MP1J","N","1058887"
"MP1K","N","1058888"
"MP1L","N","1058889"
"MP1M","N","1058890"
"MP1N","N","1058891"
"MP1O","N","1058892"
"MP1P","N","1058893"
"MP1Q","N","1058894"
"MP1R","N","1058895"
"MP1S","N","1058896"
"MP1T","N","1058897"
"MP1U","N","1058898"
"MP1V","N","1058899"
"MP1W","N","1058900"
"MP1X","N","1058901"
"MP1Y","N","1058902"
"MP1Z","N","1058903"
"MP20","N","1058904"
"MP21","N","1058905"
"MP22","N","1058906"
"MP23","N","1058907"
"MP24","N","1058908"
"MP25","N","1058909"
"MP26","N","1058910"
"MP27","N","1058911"
"MP28","N","1058912"
"MP29","N","1058913"
"MP2A","N","1058914"
"MP2B","N","1058915"
"MP2C","N","1058916"
"MP2D","N","1058917"
"MP2E","N","1058918"
"MP2F","N","1058919"
"MP2G","N","1058920"
"MP2H","N","1058921"
"MP2I","N","1058922"
"MP2J","N","1058923"
"MP2K","N","1058924"
"MP2L","N","1058925"
"MP2M","N","1058926"
"MP2N","N","1058927"
"MP2O","N","1058928"
"MP2P","N","1058929"
"MP2Q","N","1058930"
"MP2R","N","1058931"
"MP2S","N","1058932"
"MP2T","N","1058933"
"MP2U","N","1058934"
"MP2V","N","1058935"
"MP2W","N","1058936"
"MP2X","N","1058937"
"MP2Y","N","1058938"
"MP2Z","N","1058939"
"MP30","N","1058940"
"MP31","N","1058941"
"MP32","N","1058942"
"MP33","N","1058943"
"MP34","N","1058944"
"MP35","N","1058945"
"MP36","N","1058946"
"MP37","N","1058947"
"MP38","N","1058948"
"MP39","N","1058949"
"MP3A","N","1058950"
"MP3B","N","1058951"
"MP3C","N","1058952"
"MP3D","N","1058953"
"MP3E","N","1058954"
"MP3F","N","1058955"
"MP3G","N","1058956"
"MP3H","N","1058957"
"MP3I","N","1058958"
"MP3J","N","1058959"
"MP3K","N","1058960"
"MP3L","N","1058961"
"MP3M","N","1058962"
"MP3N","N","1058963"
"MP3O","N","1058964"
"MP3P","N","1058965"
"MP3Q","N","1058966"
"MP3R","N","1058967"
"MP3S","N","1058968"
"MP3T","N","1058969"
"MP3U","N","1058970"
"MP3V","N","1058971"
"MP3W","N","1058972"
"MP3X","N","1058973"
"MP3Y","N","1058974"
"MP3Z","N","1058975"
"MP40","N","1058976"
"MP41","N","1058977"
"MP42","N","1058978"
"MP43","N","1058979"
"MP44","N","1058980"
"MP45","N","1058981"
"MP46","N","1058982"
"MP47","N","1058983"
"MP48","N","1058984"
"MP49","N","1058985"
"MP4A","N","1058986"
"MP4B","N","1058987"
"MP4C","N","1058988"
"MP4D","N","1058989"
"MP4E","N","1058990"
"MP4F","N","1058991"
"MP4G","N","1058992"
"MP4H","N","1058993"
"MP4I","N","1058994"
"MP4J","N","1058995"
"MP4K","N","1058996"
"MP4L","N","1058997"
"MP4M","N","1058998"
"MP4N","N","1058999"
"MP4O","N","1059000"
"MP4P","N","1059001"
"MP4Q","N","1059002"
"MP4R","N","1059003"
"MP4S","N","1059004"
"MP4T","N","1059005"
"MP4U","N","1059006"
"MP4V","N","1059007"
"MP4W","N","1059008"
"MP4X","N","1059009"
"MP4Y","N","1059010"
"MP4Z","N","1059011"
"MP50","N","1059012"
"MP51","N","1059013"
"MP52","N","1059014"
"MP53","N","1059015"
"MP54","N","1059016"
"MP55","N","1059017"
"MP56","N","1059018"
"MP57","N","1059019"
"MP58","N","1059020"
"MP59","N","1059021"
"MP5A","N","1059022"
"MP5B","N","1059023"
"MP5C","N","1059024"
"MP5D","N","1059025"
"MP5E","N","1059026"
"MP5F","N","1059027"
"MP5G","N","1059028"
"MP5H","N","1059029"
"MP5I","N","1059030"
"MP5J","N","1059031"
"MP5K","N","1059032"
"MP5L","N","1059033"
"MP5M","N","1059034"
"MP5N","N","1059035"
"MP5O","N","1059036"
"MEW7","N","1045735"
"MEW8","N","1045736"
"MEW9","N","1045737"
"MEWA","N","1045738"
"MEWB","N","1045739"
"MEWC","N","1045740"
"MEWD","N","1045741"
"MEWE","N","1045742"
"MEWF","N","1045743"
"MEWG","N","1045744"
"MEWH","N","1045745"
"MEWI","N","1045746"
"MEWJ","N","1045747"
"MEWK","N","1045748"
"MEWL","N","1045749"
"MEWM","N","1045750"
"MEWN","N","1045751"
"MEWO","N","1045752"
"MEWP","N","1045753"
"MEWQ","N","1045754"
"MEWR","N","1045755"
"MEWS","N","1045756"
"MEWT","N","1045757"
"MEWU","N","1045758"
"MEWV","N","1045759"
"MEWW","N","1045760"
"MEWX","N","1045761"
"MEWY","N","1045762"
"MEWZ","N","1045763"
"MEX0","N","1045764"
"MEX1","N","1045765"
"MEX2","N","1045766"
"MEX3","N","1045767"
"MEX4","N","1045768"
"MEX5","N","1045769"
"MEX6","N","1045770"
"MEX7","N","1045771"
"MEX8","N","1045772"
"MEX9","N","1045773"
"MEXA","N","1045774"
"MEXB","N","1045775"
"MEXC","N","1045776"
"MEXD","N","1045777"
"MEXE","N","1045778"
"MEXF","N","1045779"
"MEXG","N","1045780"
"MEXH","N","1045781"
"MEXI","N","1045782"
"MEXJ","N","1045783"
"MEXK","N","1045784"
"MEXL","N","1045785"
"MEXM","N","1045786"
"MEXN","N","1045787"
"MEXO","N","1045788"
"MEXP","N","1045789"
"MEXQ","N","1045790"
"MEXR","N","1045791"
"MEXS","N","1045792"
"MEXT","N","1045793"
"MEXU","N","1045794"
"MEXV","N","1045795"
"MEXW","N","1045796"
"MEXX","N","1045797"
"MEXY","N","1045798"
"MEXZ","N","1045799"
"MEY0","N","1045800"
"MEY1","N","1045801"
"MEY2","N","1045802"
"MEY3","N","1045803"
"MEY4","N","1045804"
"MEY5","N","1045805"
"MEY6","N","1045806"
"MEY7","N","1045807"
"MEY8","N","1045808"
"MEY9","N","1045809"
"MEYA","N","1045810"
"MEYB","N","1045811"
"MEYC","N","1045812"
"MEYD","N","1045813"
"MEYE","N","1045814"
"MEYF","N","1045815"
"MEYG","N","1045816"
"MEYH","N","1045817"
"MEYI","N","1045818"
"MEYJ","N","1045819"
"MEYK","N","1045820"
"MEYL","N","1045821"
"MEYM","N","1045822"
"MEYN","N","1045823"
"MEYO","N","1045824"
"MEYP","N","1045825"
"MEYQ","N","1045826"
"MEYR","N","1045827"
"MEYS","N","1045828"
"MEYT","N","1045829"
"MEYU","N","1045830"
"MEYV","N","1045831"
"MEYW","N","1045832"
"MEYX","N","1045833"
"MEYY","N","1045834"
"MEYZ","N","1045835"
"MEZ0","N","1045836"
"MEZ1","N","1045837"
"MEZ2","N","1045838"
"MEZ3","N","1045839"
"MEZ4","N","1045840"
"MEZ5","N","1045841"
"MEZ6","N","1045842"
"MEZ7","N","1045843"
"MEZ8","N","1045844"
"MEZ9","N","1045845"
"MEZA","N","1045846"
"MEZB","N","1045847"
"MEZC","N","1045848"
"MEZD","N","1045849"
"MEZE","N","1045850"
"MEZF","N","1045851"
"MEZG","N","1045852"
"MEZH","N","1045853"
"MEZI","N","1045854"
"MEZJ","N","1045855"
"MEZK","N","1045856"
"MEZL","N","1045857"
"MEZM","N","1045858"
"MEZN","N","1045859"
"MEZO","N","1045860"
"MEZP","N","1045861"
"MEZQ","N","1045862"
"MEZR","N","1045863"
"MEZS","N","1045864"
"MEZT","N","1045865"
"MEZU","N","1045866"
"MEZV","N","1045867"
"MEZW","N","1045868"
"MEZX","N","1045869"
"MEZY","N","1045870"
"MEZZ","N","1045871"
"MF00","N","1045872"
"MF01","N","1045873"
"MF02","N","1045874"
"MF03","N","1045875"
"MF04","N","1045876"
"MF05","N","1045877"
"MF06","N","1045878"
"MF07","N","1045879"
"MF08","N","1045880"
"MF09","N","1045881"
"MF0A","N","1045882"
"MF0B","N","1045883"
"MF0C","N","1045884"
"MF0D","N","1045885"
"MF0E","N","1045886"
"MF0F","N","1045887"
"MF0G","N","1045888"
"MF0H","N","1045889"
"MF0I","N","1045890"
"MF0J","N","1045891"
"MF0K","N","1045892"
"MF0L","N","1045893"
"MF0M","N","1045894"
"MF0N","N","1045895"
"MF0O","N","1045896"
"MF0P","N","1045897"
"MF0Q","N","1045898"
"MF0R","N","1045899"
"MF0S","N","1045900"
"MF0T","N","1045901"
"MF0U","N","1045902"
"MF0V","N","1045903"
"MF0W","N","1045904"
"MF0X","N","1045905"
"MF0Y","N","1045906"
"MF0Z","N","1045907"
"MF10","N","1045908"
"MF11","N","1045909"
"MF12","N","1045910"
"MF13","N","1045911"
"MF14","N","1045912"
"MF15","N","1045913"
"MF16","N","1045914"
"MF17","N","1045915"
"MF18","N","1045916"
"MF19","N","1045917"
"MF1A","N","1045918"
"MF1B","N","1045919"
"MF1C","N","1045920"
"MF1D","N","1045921"
"MF1E","N","1045922"
"MF1F","N","1045923"
"MF1G","N","1045924"
"MF1H","N","1045925"
"MF1I","N","1045926"
"MF1J","N","1045927"
"MF1K","N","1045928"
"MF1L","N","1045929"
"MF1M","N","1045930"
"MF1N","N","1045931"
"MF1O","N","1045932"
"MF1P","N","1045933"
"MF1Q","N","1045934"
"MF1R","N","1045935"
"MF1S","N","1045936"
"MF1T","N","1045937"
"MF1U","N","1045938"
"MF1V","N","1045939"
"MF1W","N","1045940"
"MF1X","N","1045941"
"MF1Y","N","1045942"
"MF1Z","N","1045943"
"MF20","N","1045944"
"MF21","N","1045945"
"MF22","N","1045946"
"MF23","N","1045947"
"MF24","N","1045948"
"MF25","N","1045949"
"MF26","N","1045950"
"MF27","N","1045951"
"MF28","N","1045952"
"MF29","N","1045953"
"MF2A","N","1045954"
"MF2B","N","1045955"
"MF2C","N","1045956"
"MF2D","N","1045957"
"MF2E","N","1045958"
"MF2F","N","1045959"
"MF2G","N","1045960"
"MF2H","N","1045961"
"MF2I","N","1045962"
"MF2J","N","1045963"
"MF2K","N","1045964"
"MF2L","N","1045965"
"MF2M","N","1045966"
"MF2N","N","1045967"
"MF2O","N","1045968"
"MF2P","N","1045969"
"MF2Q","N","1045970"
"MF2R","N","1045971"
"MF2S","N","1045972"
"MF2T","N","1045973"
"MF2U","N","1045974"
"MF2V","N","1045975"
"MF2W","N","1045976"
"MF2X","N","1045977"
"MF2Y","N","1045978"
"MF2Z","N","1045979"
"MF30","N","1045980"
"MF31","N","1045981"
"MF32","N","1045982"
"MF33","N","1045983"
"MF34","N","1045984"
"MF35","N","1045985"
"MF36","N","1045986"
"MF37","N","1045987"
"MF38","N","1045988"
"MF39","N","1045989"
"MF3A","N","1045990"
"MF3B","N","1045991"
"MF3C","N","1045992"
"MF3D","N","1045993"
"MF3E","N","1045994"
"MF3F","N","1045995"
"MF3G","N","1045996"
"MF3H","N","1045997"
"MF3I","N","1045998"
"MF3J","N","1045999"
"MF3K","N","1046000"
"MF3L","N","1046001"
"MF3M","N","1046002"
"MF3N","N","1046003"
"MF3O","N","1046004"
"MF3P","N","1046005"
"MF3Q","N","1046006"
"MF3R","N","1046007"
"MF3S","N","1046008"
"MF3T","N","1046009"
"MF3U","N","1046010"
"MF3V","N","1046011"
"MF3W","N","1046012"
"MF3X","N","1046013"
"MF3Y","N","1046014"
"MF3Z","N","1046015"
"MF40","N","1046016"
"MF41","N","1046017"
"MF42","N","1046018"
"MF43","N","1046019"
"MF44","N","1046020"
"MF45","N","1046021"
"MF46","N","1046022"
"MF47","N","1046023"
"MF48","N","1046024"
"MF49","N","1046025"
"MF4A","N","1046026"
"MF4B","N","1046027"
"MF4C","N","1046028"
"MF4D","N","1046029"
"MF4E","N","1046030"
"MF4F","N","1046031"
"MF4G","N","1046032"
"MF4H","N","1046033"
"MF4I","N","1046034"
"MF4J","N","1046035"
"MF4K","N","1046036"
"MF4L","N","1046037"
"MF4M","N","1046038"
"MF4N","N","1046039"
"MF4O","N","1046040"
"MF4P","N","1046041"
"MF4Q","N","1046042"
"MF4R","N","1046043"
"MF4S","N","1046044"
"MF4T","N","1046045"
"MF4U","N","1046046"
"MF4V","N","1046047"
"MF4W","N","1046048"
"MF4X","N","1046049"
"MF4Y","N","1046050"
"MF4Z","N","1046051"
"MF50","N","1046052"
"MF51","N","1046053"
"MF52","N","1046054"
"MF53","N","1046055"
"MF54","N","1046056"
"MF55","N","1046057"
"MF56","N","1046058"
"MF57","N","1046059"
"MF58","N","1046060"
"MF59","N","1046061"
"MF5A","N","1046062"
"MF5B","N","1046063"
"MF5C","N","1046064"
"MF5D","N","1046065"
"MF5E","N","1046066"
"MF5F","N","1046067"
"MF5G","N","1046068"
"MF5H","N","1046069"
"MF5I","N","1046070"
"MF5J","N","1046071"
"MF5K","N","1046072"
"MF5L","N","1046073"
"MF5M","N","1046074"
"MF5N","N","1046075"
"MF5O","N","1046076"
"MF5P","N","1046077"
"MF5Q","N","1046078"
"MF5R","N","1046079"
"MF5S","N","1046080"
"MF5T","N","1046081"
"MF5U","N","1046082"
"MF5V","N","1046083"
"MF5W","N","1046084"
"MF5X","N","1046085"
"MF5Y","N","1046086"
"MF5Z","N","1046087"
"MF60","N","1046088"
"MF61","N","1046089"
"MF62","N","1046090"
"MF63","N","1046091"
"MF64","N","1046092"
"MF65","N","1046093"
"MF66","N","1046094"
"MF67","N","1046095"
"MF68","N","1046096"
"MF69","N","1046097"
"MF6A","N","1046098"
"MF6B","N","1046099"
"MF6C","N","1046100"
"MF6D","N","1046101"
"MF6E","N","1046102"
"MF6F","N","1046103"
"MF6G","N","1046104"
"MF6H","N","1046105"
"MF6I","N","1046106"
"MF6J","N","1046107"
"MF6K","N","1046108"
"MF6L","N","1046109"
"MF6M","N","1046110"
"MF6N","N","1046111"
"MF6O","N","1046112"
"MF6P","N","1046113"
"MF6Q","N","1046114"
"MF6R","N","1046115"
"MF6S","N","1046116"
"MF6T","N","1046117"
"MF6U","N","1046118"
"MF6V","N","1046119"
"MF6W","N","1046120"
"MF6X","N","1046121"
"MF6Y","N","1046122"
"MF6Z","N","1046123"
"MF70","N","1046124"
"MF71","N","1046125"
"MF72","N","1046126"
"MF73","N","1046127"
"MF74","N","1046128"
"MF75","N","1046129"
"MF76","N","1046130"
"MF77","N","1046131"
"MF78","N","1046132"
"MF79","N","1046133"
"MF7A","N","1046134"
"MF7B","N","1046135"
"MF7C","N","1046136"
"MF7D","N","1046137"
"MIBD","N","1050169"
"MIBE","N","1050170"
"MIBF","N","1050171"
"MIBG","N","1050172"
"MIBH","N","1050173"
"MIBI","N","1050174"
"MIBJ","N","1050175"
"MIBK","N","1050176"
"MIBL","N","1050177"
"MIBM","N","1050178"
"MIBN","N","1050179"
"MIBO","N","1050180"
"MIBP","N","1050181"
"MIBQ","N","1050182"
"MIBR","N","1050183"
"MIBS","N","1050184"
"MIBT","N","1050185"
"MIBU","N","1050186"
"MIBV","N","1050187"
"MIBW","N","1050188"
"MIBX","N","1050189"
"MIBY","N","1050190"
"MIBZ","N","1050191"
"MIC0","N","1050192"
"MIC1","N","1050193"
"MIC2","N","1050194"
"MIC3","N","1050195"
"MIC4","N","1050196"
"MIC5","N","1050197"
"MIC6","N","1050198"
"MIC7","N","1050199"
"MIC8","N","1050200"
"MIC9","N","1050201"
"MICA","N","1050202"
"MICB","N","1050203"
"MICC","N","1050204"
"MICD","N","1050205"
"MICE","N","1050206"
"MICF","N","1050207"
"MICG","N","1050208"
"MICH","N","1050209"
"MICI","N","1050210"
"MICJ","N","1050211"
"MICK","N","1050212"
"MICL","N","1050213"
"MICM","N","1050214"
"MICN","N","1050215"
"MICO","N","1050216"
"MICP","N","1050217"
"MICQ","N","1050218"
"MICR","N","1050219"
"MICS","N","1050220"
"MICT","N","1050221"
"MICU","N","1050222"
"MICV","N","1050223"
"MICW","N","1050224"
"MICX","N","1050225"
"MICY","N","1050226"
"MICZ","N","1050227"
"MID0","N","1050228"
"MID1","N","1050229"
"MID2","N","1050230"
"MID3","N","1050231"
"MID4","N","1050232"
"MID5","N","1050233"
"MID6","N","1050234"
"MID7","N","1050235"
"MID8","N","1050236"
"MID9","N","1050237"
"MIDA","N","1050238"
"MIDB","N","1050239"
"MIDC","N","1050240"
"MIDD","N","1050241"
"MIDE","N","1050242"
"MIDF","N","1050243"
"MIDG","N","1050244"
"MIDH","N","1050245"
"MIDI","N","1050246"
"MIDJ","N","1050247"
"MIDK","N","1050248"
"MIDL","N","1050249"
"MIDM","N","1050250"
"MIDN","N","1050251"
"MIDO","N","1050252"
"MIDP","N","1050253"
"MIDQ","N","1050254"
"MIDR","N","1050255"
"MIDS","N","1050256"
"MIDT","N","1050257"
"MIDU","N","1050258"
"MIDV","N","1050259"
"MIDW","N","1050260"
"MIDX","N","1050261"
"MIDY","N","1050262"
"MIDZ","N","1050263"
"MIE0","N","1050264"
"MIE1","N","1050265"
"MIE2","N","1050266"
"MIE3","N","1050267"
"MIE4","N","1050268"
"MIE5","N","1050269"
"MIE6","N","1050270"
"MIE7","N","1050271"
"MIE8","N","1050272"
"MIE9","N","1050273"
"MIEA","N","1050274"
"MIEB","N","1050275"
"MIEC","N","1050276"
"MIED","N","1050277"
"MIEE","N","1050278"
"MIEF","N","1050279"
"MIEG","N","1050280"
"MIEH","N","1050281"
"MIEI","N","1050282"
"MIEJ","N","1050283"
"MIEK","N","1050284"
"MIEL","N","1050285"
"MIEM","N","1050286"
"MIEN","N","1050287"
"MIEO","N","1050288"
"MIEP","N","1050289"
"MIEQ","N","1050290"
"MIER","N","1050291"
"MIES","N","1050292"
"MIET","N","1050293"
"MIEU","N","1050294"
"MIEV","N","1050295"
"MIEW","N","1050296"
"MIEX","N","1050297"
"MIEY","N","1050298"
"MIEZ","N","1050299"
"MIF0","N","1050300"
"MIF1","N","1050301"
"MIF2","N","1050302"
"MIF3","N","1050303"
"MIF4","N","1050304"
"MIF5","N","1050305"
"MIF6","N","1050306"
"MIF7","N","1050307"
"MIF8","N","1050308"
"MIF9","N","1050309"
"MIFA","N","1050310"
"MIFB","N","1050311"
"MIFC","N","1050312"
"MIFD","N","1050313"
"MIFE","N","1050314"
"MIFF","N","1050315"
"MIFG","N","1050316"
"MIFH","N","1050317"
"MIFI","N","1050318"
"MIFJ","N","1050319"
"MIFK","N","1050320"
"MIFL","N","1050321"
"MIFM","N","1050322"
"MIFN","N","1050323"
"MIFO","N","1050324"
"MIFP","N","1050325"
"MIFQ","N","1050326"
"MIFR","N","1050327"
"MIFS","N","1050328"
"MIFT","N","1050329"
"MIFU","N","1050330"
"MIFV","N","1050331"
"MIFW","N","1050332"
"MIFX","N","1050333"
"MIFY","N","1050334"
"MIFZ","N","1050335"
"MIG0","N","1050336"
"MIG1","N","1050337"
"MIG2","N","1050338"
"MIG3","N","1050339"
"MIG4","N","1050340"
"MIG5","N","1050341"
"MIG6","N","1050342"
"MIG7","N","1050343"
"MIG8","N","1050344"
"MIG9","N","1050345"
"MIGA","N","1050346"
"MIGB","N","1050347"
"MIGC","N","1050348"
"MIGD","N","1050349"
"MIGE","N","1050350"
"MIGF","N","1050351"
"MIGG","N","1050352"
"MIGH","N","1050353"
"MIGI","N","1050354"
"MIGJ","N","1050355"
"MIGK","N","1050356"
"MIGL","N","1050357"
"MIGM","N","1050358"
"MIGN","N","1050359"
"MIGO","N","1050360"
"MIGP","N","1050361"
"MIGQ","N","1050362"
"MIGR","N","1050363"
"MIGS","N","1050364"
"MIGT","N","1050365"
"MIGU","N","1050366"
"MIGV","N","1050367"
"MIGW","N","1050368"
"MIGX","N","1050369"
"MIGY","N","1050370"
"MIGZ","N","1050371"
"MIH0","N","1050372"
"MIH1","N","1050373"
"MIH2","N","1050374"
"MIH3","N","1050375"
"MIH4","N","1050376"
"MIH5","N","1050377"
"MIH6","N","1050378"
"MIH7","N","1050379"
"MIH8","N","1050380"
"MIH9","N","1050381"
"MIHA","N","1050382"
"MIHB","N","1050383"
"MIHC","N","1050384"
"MIHD","N","1050385"
"MIHE","N","1050386"
"MIHF","N","1050387"
"MIHG","N","1050388"
"MIHH","N","1050389"
"MIHI","N","1050390"
"MIHJ","N","1050391"
"MIHK","N","1050392"
"MIHL","N","1050393"
"MIHM","N","1050394"
"MIHN","N","1050395"
"MIHO","N","1050396"
"MIHP","N","1050397"
"MIHQ","N","1050398"
"MIHR","N","1050399"
"MIHS","N","1050400"
"MIHT","N","1050401"
"MIHU","N","1050402"
"MIHV","N","1050403"
"MIHW","N","1050404"
"MIHX","N","1050405"
"MIHY","N","1050406"
"MIHZ","N","1050407"
"MII0","N","1050408"
"MII1","N","1050409"
"MII2","N","1050410"
"MII3","N","1050411"
"MII4","N","1050412"
"MII5","N","1050413"
"MII6","N","1050414"
"MII7","N","1050415"
"MII8","N","1050416"
"MII9","N","1050417"
"MIIA","N","1050418"
"MIIB","N","1050419"
"MIIC","N","1050420"
"MIID","N","1050421"
"MIIE","N","1050422"
"MIIF","N","1050423"
"MIIG","N","1050424"
"MIIH","N","1050425"
"MIII","N","1050426"
"MIIJ","N","1050427"
"MIIK","N","1050428"
"MIIL","N","1050429"
"MIIM","N","1050430"
"MIIN","N","1050431"
"MIIO","N","1050432"
"MIIP","N","1050433"
"MIIQ","N","1050434"
"MIIR","N","1050435"
"MIIS","N","1050436"
"MIIT","N","1050437"
"MIIU","N","1050438"
"MIIV","N","1050439"
"MIIW","N","1050440"
"MIIX","N","1050441"
"MIIY","N","1050442"
"MIIZ","N","1050443"
"MIJ0","N","1050444"
"MIJ1","N","1050445"
"MIJ2","N","1050446"
"MIJ3","N","1050447"
"MIJ4","N","1050448"
"MIJ5","N","1050449"
"MIJ6","N","1050450"
"MIJ7","N","1050451"
"MIJ8","N","1050452"
"MIJ9","N","1050453"
"MIJA","N","1050454"
"MIJB","N","1050455"
"MIJC","N","1050456"
"MIJD","N","1050457"
"MIJE","N","1050458"
"MIJF","N","1050459"
"MIJG","N","1050460"
"MIJH","N","1050461"
"MIJI","N","1050462"
"MIJJ","N","1050463"
"MIJK","N","1050464"
"MIJL","N","1050465"
"MIJM","N","1050466"
"MIJN","N","1050467"
"MIJO","N","1050468"
"MIJP","N","1050469"
"MIJQ","N","1050470"
"MIJR","N","1050471"
"MIJS","N","1050472"
"MIJT","N","1050473"
